1|55|33|28|56|22|2|3|16|48|56|24
10|16|38|43|63|23|1|55|33|28|56|22
23|49|57|64|67|20|10|16|38|43|63|23
16|30|34|37|44|16|23|49|57|64|67|20
3|54|61|64|68|9|16|30|34|37|44|16
8|18|27|29|60|15|3|54|61|64|68|9
2|12|50|61|64|1|8|18|27|29|60|15
30|38|52|53|62|1|2|12|50|61|64|1
7|15|20|29|41|22|30|38|52|53|62|1
1|28|63|67|69|17|7|15|20|29|41|22
9|19|51|55|62|14|1|28|63|67|69|17
10|11|23|28|31|14|9|19|51|55|62|14
3|17|49|55|68|8|10|11|23|28|31|14
22|23|29|33|55|21|3|17|49|55|68|8
7|39|50|59|67|25|22|23|29|33|55|21
5|10|24|56|61|12|7|39|50|59|67|25
4|32|48|49|63|20|5|10|24|56|61|12
9|11|25|64|65|16|4|32|48|49|63|20
3|6|21|60|68|24|9|11|25|64|65|16
33|44|49|50|52|8|3|6|21|60|68|24
38|44|60|64|69|6|33|44|49|50|52|8
23|56|61|64|67|12|38|44|60|64|69|6
20|33|36|47|52|12|23|56|61|64|67|12
9|11|27|66|67|2|20|33|36|47|52|12
11|17|21|23|32|5|9|11|27|66|67|2
10|47|50|65|68|24|11|17|21|23|32|5
5|7|23|35|39|11|10|47|50|65|68|24
6|25|35|58|66|5|5|7|23|35|39|11
11|17|40|50|62|26|6|25|35|58|66|5
3|15|29|54|57|10|11|17|40|50|62|26
10|28|32|61|64|12|3|15|29|54|57|10
2|24|31|57|66|18|10|28|32|61|64|12
10|34|39|59|63|4|2|24|31|57|66|18
23|29|37|60|64|6|10|34|39|59|63|4
3|27|36|56|69|25|23|29|37|60|64|6
14|40|42|43|52|17|3|27|36|56|69|25
2|23|41|53|63|11|14|40|42|43|52|17
4|22|24|31|33|10|2|23|41|53|63|11
20|27|36|41|58|7|4|22|24|31|33|10
12|25|37|60|69|20|20|27|36|41|58|7
16|20|22|43|64|17|12|25|37|60|69|20
23|30|33|40|69|12|16|20|22|43|64|17
6|33|34|58|59|12|23|30|33|40|69|12
11|24|41|59|64|15|6|33|34|58|59|12
5|7|9|23|32|26|11|24|41|59|64|15
